"","City","Count","lon","lat"
"1","Addison, TX",1,-96.8291685,32.96179
"2","Atlanta, GA",6,-84.3885209,33.7501275
"3","Austin, TX",38,-97.7430608,30.267153
"4","Bolingbrook, Illinois",1,-88.0683955,41.6986416
"5","Boston, MA",3,-71.0565364,42.3555076
"6","Brooklyn, NY",1,-73.9441579,40.6781784
"7","Chicago, IL",2,-87.6297982,41.8781136
"8","Cincinnati, OH",1,-84.5120196,39.1031182
"9","Columbus, OH",1,-83.0032218,39.9625112
"10","Dallas, TX",2,-96.7969879,32.7766642
"11","Fort Worth, TX",1,-97.3307658,32.7554883
"12","Foster City, CA",1,-122.2710788,37.5585465
"13","Fountain Valley, CA",1,-117.9544069,33.7090212
"14","Fremont, California",1,-121.988583,37.5485396
"15","Frisco, TX",1,-96.835567,33.1496718
"16","Houston, TX",1,-95.3701108,29.7600771
"17","Irvine, CA",1,-117.8265049,33.6845673
"18","Irving, TX",2,-96.9546899,32.8136151
"19","Los Angeles, CA",3,-118.242643,34.0549076
"20","Los Gatos, CA",1,-121.9623751,37.2358078
"21","McLean, VA",1,-77.1772604,38.9338676
"22","Memphis, TN",2,-90.0518955,35.1485812
"23","Mountain View, CA",4,-122.0812304,37.3900264
"24","New York, New York",2,-74.0059728,40.7127753
"25","New York, NY",22,-74.0059728,40.7127753
"26","Newark, CA",2,-122.0383968,37.5299765
"27","O'Fallon, USA",1,-90.6998477,38.8106075
"28","Orlando, FL",1,-81.3789269,28.5383832
"29","Palo Alto, CA",2,-122.1430195,37.4418834
"30","Philadelphia, PA",1,-75.1652215,39.9525839
"31","Phoenix, AZ",1,-112.0776781,33.4482266
"32","Pittsburgh, PA",1,-79.9972352,40.4386612
"33","Plano, TX",1,-96.6979973,33.0216577
"34","Queens, NY",2,-73.7948516,40.7282239
"35","Redmond, WA",1,-122.121512,47.6739881
"38","Research Triangle Park, NC",1,-78.8636402,35.8991678
"39","Reynoldsburg, OH",1,-82.8121191,39.9547861
"40","Richardson, TX",2,-96.7298519,32.9483335
"41","Round Rock, TX",1,-97.678896,30.5082551
"42","San Antonio, TX",3,-98.4945922,29.4251905
"43","San Diego, CA",1,-117.1610838,32.715738
"44","San Francisco, CA",17,-122.4194155,37.7749295
"45","San Jose, CA",4,-121.8852525,37.33874
"46","Santa Clara, CA",2,-121.9552356,37.3541079
"47","Santa Clarita, CA",1,-118.542586,34.3916641
"48","Seattle, WA",11,-122.3328481,47.6061389
"49","Stamford, CT",1,-73.5394821,41.0527986
"50","Sunnyvale, CA",3,-122.0363496,37.36883
"53","Wellesley, MA",1,-71.2745085,42.3135529
